time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 22.09.2021 - 14:00 LSEČ,Bratislava Ivanka,14.0 °C,SZ,7 m/s,,Takmer zamračené,Prehánka
Aktuálny stav počasia - 22.09.2021 - 14:00 LSEČ,Bratislava Koliba,14.2 °C,Z,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 15:00 LSEČ,Bratislava - Mlynská Dolina,12.6 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 15:00 LSEČ,Bratislava Ivanka,14.1 °C,S,3 m/s,,Takmer zamračené,Po prehánke
Aktuálny stav počasia - 22.09.2021 - 15:00 LSEČ,Bratislava Koliba,12.6 °C,SZ,3 m/s,8 m/s,Takmer zamračené,Prehánka
Aktuálny stav počasia - 22.09.2021 - 15:00 LSEČ,Bratislava - Mlynská Dolina,12.6 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 15:00 LSEČ,Bratislava Ivanka,14.1 °C,S,3 m/s,,Takmer zamračené,Po prehánke
Aktuálny stav počasia - 22.09.2021 - 15:00 LSEČ,Bratislava Koliba,12.6 °C,SZ,3 m/s,8 m/s,Takmer zamračené,Prehánka
Aktuálny stav počasia - 22.09.2021 - 16:00 LSEČ,Bratislava - Mlynská Dolina,12.6 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 16:00 LSEČ,Bratislava Ivanka,14.1 °C,S,5 m/s,,Takmer zamračené,Prehánka
Aktuálny stav počasia - 22.09.2021 - 16:00 LSEČ,Bratislava Koliba,12.5 °C,S,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 16:00 LSEČ,Bratislava - Mlynská Dolina,12.6 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 16:00 LSEČ,Bratislava Ivanka,14.1 °C,S,5 m/s,,Takmer zamračené,Prehánka
Aktuálny stav počasia - 22.09.2021 - 16:00 LSEČ,Bratislava Koliba,12.5 °C,S,3 m/s,,,
